ILMN_GENE,PROBE_ID,PP,PO,DZ,SIB,MZ,h2,d2
ADK,ILMN_2358626,0.095,0.143,0.123,0.093,0.376,0.41,0.12
ATP13A1,ILMN_2134224,-0.02,0.162,0.138,0.202,0.606,0.67,0.16
C21ORF57,ILMN_1795836,-0.023,0.153,0.169,0.231,0.47,0.51,0.08
CSTB,ILMN_1761797,-0.064,0.156,0.15,0.171,0.299,0.25,0.04
CTSC,ILMN_2242463,0.122,0.142,0.202,0.161,0.374,0.27,0.08
FN3KRP,ILMN_1652333,-0.071,0.166,0.138,0.212,0.434,0.31,0.11
GAA,ILMN_2410783,-0.047,0.163,0.143,0.13,0.387,0.39,0.06
HNRPH1,ILMN_2101920,0.015,0.152,0.122,0.129,0.237,0.17,0.05
LAX1,ILMN_1769782,-0.065,0.142,0.175,0.19,0.356,0.27,0.04
MBNL1,ILMN_2313158,0.022,0.179,0.158,0.184,0.239,0.18,0.11
NAPRT1,ILMN_1710752,-0.062,0.186,0.208,0.283,0.506,0.37,0.14
NCL,ILMN_2121437,-0.019,0.141,0.178,0.145,0.399,0.31,0.08
PRMT2,ILMN_1675038,-0.045,0.199,0.193,0.183,0.402,0.34,0.06
SNORD14A,ILMN_1799381,0.028,0.17,0.146,0.13,0.525,0.43,0.14
TMEM149,ILMN_1786426,0.065,0.267,0.233,0.173,0.489,0.41,0.09
VASP,ILMN_1743646,-0.003,0.144,0.271,0.179,0.52,0.38,0.13
